word, today's frequency, log2(freq.today/freq.ystdy)
game,0.0016583326738856582,1.1725846895467802
kd,0.0008234184484229933,6.750160994692395
raptors,0.0006980342755949465,4.0757339866163
warriors,0.0006608735079550777,3.876516038490121
kawhi,0.0005376280843437142,3.8650545620477392
lowry,0.00043282937272624226,6.3248339699418805
toronto,0.0003483487786672598,3.057371757820574
shot,0.00033097144128170963,1.2606099542045566
nbafinals,0.0003133267602440741,3.71574560021952
durant,0.0003020983268564878,5.931584639025724
e3,0.0002868597386876207,4.316343561116993
kyle,0.0002855230204271938,3.9172877092692646
injury,0.00027509661799586364,3.701347615576802
nba,0.00025852131156656964,1.6664353927541067
jungkook,0.0002189544510579323,1.0077656047268853
pride,0.0002184197637537615,1.0527367489227497
kevin,0.0002128055470599684,2.7357867013994377
finals,0.00019623024063067436,1.1612151394540728
cheering,0.0001914180548931374,4.273293358987431
wethenorth,0.00019008133663271046,4.330297527201126
basketball,0.00017377337385550182,1.99329226608916
drake,0.00017243665559507488,2.1226329320337904
achilles,0.00017083259368256258,6.568581321307466
avengers,0.0001638816587283425,2.836227122079757
monday,0.000161475565859574,2.011580508719152
dean,0.00016067353490331783,3.1225783764535726
square,0.00015826744203454937,2.0660451432106606
e32019,0.00015238588168867083,6.081799214525213
golden,0.00015211853803658544,1.5557039917226776
fantasy,0.0001446329157781946,1.6701825014354916
raw,0.00014383088482193844,2.0724440494735097
klay,0.00013260245143435217,4.2031055107473465
curry,0.00012805760934890057,2.830862951209289
mexico,0.0001253841728280467,1.7473138815289226
steph,0.00012431479821970514,2.862068592912279
remake,0.0001189679251779974,3.2916832240507627
injured,0.00011068027196335039,2.01165882029691
tifa,0.000110412928311265,6.35394467105876
squareenixe3,0.000110412928311265,0
jordan,0.0001085415227466673,1.4223920212159726
championship,0.000102125275096618,1.61688466276727
leonard,9.945183857576412e-05,3.540140498024917
draymond,9.651105840282486e-05,3.221202271190629
flag,9.544168379448331e-05,1.1895306532815393
06,9.143152901320249e-05,1.6223675958879153
enix,8.902543614443401e-05,4.820932645374129
keanu,8.822340518817785e-05,2.2933033197189245
cheer,8.52826250152386e-05,1.6355844765624543
tuesday,8.421325040689704e-05,1.2261891238603877
jk,8.394590675481165e-05,1.6608868998902568
raps,8.28765321464701e-05,3.1327161828559484
cousins,8.234184484229933e-05,2.230293522193124
calf,8.207450119021394e-05,5.51100404573065
xbox,8.180715753812855e-05,1.1843689481657604
crowd,8.127247023395777e-05,1.248909200360471
canadian,8.047043927770161e-05,1.2927043182401556
matt,7.913372101727468e-05,1.0660451432106606
timeout,7.806434640893313e-05,5.438733759240488
boogie,7.43215352797377e-05,3.908418654446681
euphoria,7.271747336722538e-05,2.8769404229735134
nurse,7.138075510679844e-05,1.883340377345927
jkoureuphoria,7.031138049845689e-05,0
nick,6.950934954220073e-05,1.2051878229311532
nintendo,6.549919476091992e-05,1.141153020004588
smash,6.523185110883453e-05,1.0097215364810448
ateez,6.442982015257837e-05,1.4613588184493405
refs,6.442982015257837e-05,3.5768360358692766
ff7,6.122169632755373e-05,6.088112988457415
gameplay,6.068700902338294e-05,2.616026069014089
quarter,6.015232171921217e-05,1.7407622966901457
jim,6.015232171921217e-05,1.1319530540146219
dj,5.908294711087062e-05,1.0368117597519027
jun,5.801357250252907e-05,2.425497932083794
gsw,5.774622885044368e-05,4.418834201802784
kd's,5.6676854242102135e-05,6.97682965492367
gs,5.6676854242102135e-05,4.654901560036308
gaetz,5.614216693793136e-05,6.963154718026594
ubisoft,5.5340135981675195e-05,4.35743365713864
foul,5.507279232958981e-05,1.6874822141001038
dubnation,5.507279232958981e-05,4.350447226822533
helicopter,5.453810502541904e-05,3.5994064474446046
190611,5.400341772124826e-05,0
reeves,5.400341772124826e-05,2.0997657610546616
crash,5.2399355808735933e-05,1.0822593309510198
pts,5.132998120039439e-05,1.8338717010816272
rainbow,5.1062637548309e-05,1.7388751871458803
nixon,5.079529389622361e-05,3.2338023079702625
nbafinals2019,5.0527950244138224e-05,4.8111516245815436
warrior,4.945857563579667e-05,1.7358965415183296
sudan,4.8923888331625896e-05,2.8577184430359948
loveisland,4.8656544679540514e-05,4.434775745671805
cheered,4.812185737536974e-05,3.740762296690146
ortiz,4.7319826419113574e-05,3.7165147504434684
canadians,4.7052482767028186e-05,1.620877977747429
arena,4.651779546285741e-05,1.647458576850746
myers,4.5715764506601246e-05,3.3448336203590063
ubie3,4.491373355034509e-05,6.641226623139231
lakers,4.46463898982597e-05,1.047650992113367
knicks,4.357701528991815e-05,3.5976373545915488
mentions,4.2774984333661984e-05,1.3229097818042477
oracle,4.197295337740583e-05,3.736175027194494
molly,4.197295337740583e-05,2.3736049478097856
locker,4.197295337740583e-05,1.843090231111006
splash,4.170560972532044e-05,2.5343114192227194
ego,4.170560972532044e-05,1.2863839057791338
parade,4.143826607323505e-05,1.2771060921911233
backboard,4.117092242114966e-05,4.515695741055373
convicted,4.0903578769064275e-05,2.0468654244158255
illegals,4.03688914648935e-05,2.2393864262419645
looney,4.03688914648935e-05,3.1653858447981875
clutch,3.983420416072272e-05,2.29815271938032
kerr,3.956686050863734e-05,3.458362565989421
thompson,3.9299516856551953e-05,2.0562641224180753
danny,3.9032173204466565e-05,1.2292803936115384
dlc,3.876482955238118e-05,2.18089077693182
