word, today's frequency, log2(freq.today/freq.ystdy)
jungkook,0.00019186807328426794,1.220099792212853
exo,0.00017786397810381918,1.2759939620804015
blackpink,0.00017606858128581292,1.787555590746021
paul,0.00015512228507574,1.2763742480930624
animals,0.00015272842265173168,1.192071603388448
rys19,0.0001363304650472746,2.844499068159302
auburn,0.00013297905765366293,2.484155187342345
04,0.0001299867296236525,2.082086664091895
btsloveyourselfbkk,0.00011981281432161709,5.503663346231559
kodak,0.00011107521647398667,5.306955241272798
ms,0.00011095552335278626,1.692422897880004
got7,0.00010497086729276543,1.7204130825722184
wwehof,0.00010281639111115792,7.6979889078128725
190406,0.00010102099429315167,0
foul,0.00010078160805075085,2.794681891824664
06,9.946498371754626e-05,2.015973233703748
07,9.575449696033334e-05,2.0928304359199505
horse,9.288186205152334e-05,1.3549902160580334
virginia,9.240308956672168e-05,1.5743052729860083
meharry,9.204401020312043e-05,5.9533518739150795
nipsey,8.74956715975046e-05,7.050164683348003
gang,8.282763987068833e-05,1.1701654151119851
bbmas,7.564605259866334e-05,5.670292834130356
returns,7.516728011386168e-05,1.2612022279562447
armys,7.516728011386168e-05,1.1800061451082637
finalfour,7.468850762906e-05,4.651914304815501
bernie,7.10977139930475e-05,1.0572692506970058
ray,6.930231717504126e-05,1.1213995881167216
pierce,6.918262405384083e-05,4.187800813839231
dribble,6.200103678181584e-05,4.231317280194757
billy,6.200103678181584e-05,1.8808200331106237
apr,6.020563996380959e-05,1.8104119590600005
killthislove,5.936778811540667e-05,2.818208055810945
wwe,5.8529936267003754e-05,1.3408447254028326
horses,5.5298221994592506e-05,1.8032236280904668
shazam,5.422098390378876e-05,1.8520096872431044
g1supercard,5.302405269178459e-05,7.327599975950584
bangkok,4.835602096496834e-05,2.466728115584161
got7bbmas,4.799694160136709e-05,0
wade,4.751816911656542e-05,1.9995072830962108
jennie,4.703939663176376e-05,1.2359593523795773
jewish,4.656062414696209e-05,1.0956693130233037
rudd,4.632123790456125e-05,3.962701842097663
worldhealthday,4.584246541975959e-05,0
jisoo,4.536369293495792e-05,1.1024911255666572
