word, today's frequency, log2(freq.today/freq.ystdy)
goal,0.0002329873957742085,1.043872411856158
mono,0.00020767643479928093,7.169512469863808
chelsea,0.00017236764423925692,1.3823386266713007
rondo,0.0001473097928740786,4.735428833922523
dodgers,0.00014275381989859164,1.5236688280505997
peoplesvotemarch,0.000135287086410988,1.3946945983905952
181020,0.00013490742199636407,1.644267136007376
michigan,0.00012845312694775753,1.7992846137736107
namjoon,0.00011972084541140752,1.937444007382192
mourinho,0.00010681225531419445,2.5098124169161884
ohio,0.00010478737843620025,1.7903224810706604
purdue,0.00010010485065583863,4.657255212185589
rm,9.959863143634008e-05,2.7285509879166505
lakers,9.681442572909805e-05,1.478505702150587
mixtape,9.440988443647993e-05,2.9029017496603666
ingram,8.808214419274803e-05,4.090794188217882
cp3,7.757809538815307e-05,9.333858710762033
adnhomecoming2018,7.631254733940669e-05,0
chemun,7.631254733940669e-05,2.582209184408137
martial,7.479388968091104e-05,2.6087044252772884
yards,7.378145124191394e-05,1.261467520271748
madrid,7.112380033954654e-05,2.1317261702413464
messi,6.99848070956748e-05,2.863323022418596
scored,6.239151880319652e-05,1.3053137657830403
jose,6.011353231545304e-05,1.442337194232549
joon,5.884798426670666e-05,1.8477395118163058
unveil3,5.8594874656957384e-05,0
alabama,5.1760915193726934e-05,1.4554517311213733
wesupportdipikakakar,5.112814116935374e-05,6.410398834935684
referendum,5.087503155960447e-05,1.1705782865725425
peoplesvote,5.036881234010591e-05,1.0242395404316815
urban,4.8850154681610255e-05,1.1827567070750753
rockets,4.859704507186098e-05,2.216134451943679
harden,4.796427104748779e-05,4.247852062463583
aldubloveandpositivity,4.707838741336532e-05,0
liverpool,4.6572168193866773e-05,1.0741154470712515
mufc,4.3914517291499376e-05,1.558710989262637
taeyeon,4.2775524047627636e-05,1.8456382632738262
qb,4.2648969242752995e-05,1.0698407919709256
xfactor,4.0370982755009513e-05,4.484637465227602
bama,3.9864763535510964e-05,3.419127155071655
tennessee,3.973820873063632e-05,1.055853240678523
worlds2018,3.885232509651386e-05,1.736297450254303
stray,3.783988665751676e-05,1.0219927159951192
busan,3.7713331852642116e-05,1.5790384498672903
thegreatbtsbillboardhunt,3.7207112633143566e-05,0
penalty,3.7080557828268926e-05,1.0209447880499138
brandon,3.63212289990211e-05,1.6391095315598116
moonchild,3.6068119389271826e-05,0
corbyn,3.5815009779522544e-05,1.3607926947755615
181021,3.5435345364898635e-05,6.203398464016218
700,3.3663578096653704e-05,1.4569725406009455
scoring,3.315735887715515e-05,1.0414492581509291
nevada,3.290424926740587e-05,1.3151235465750464
spit,3.290424926740587e-05,1.526627651768758
strictly,3.277769446253124e-05,2.113643811257889
utd,3.26511396576566e-05,1.0966580157223398
pogba,3.227147524303268e-05,2.0461010709016545
jikook,3.214492043815805e-05,1.204819138715845
vlive,3.2018365633283406e-05,1.288924696988635
lsu,3.189181082840877e-05,2.2185053564064265
ronaldo,3.176525602353413e-05,2.0456590010220235
msu,3.176525602353413e-05,2.5538059046923487
gameday,2.99934887552892e-05,1.1048777008419381
redmareinsg,2.9866933950414562e-05,2.175398782908433
ref,2.9740379145539925e-05,1.1177423794715096
monoiscoming,2.9613824340665288e-05,0
mitch,2.9487269535790647e-05,1.019438354450937
mostrequestedlive,2.9234159926041372e-05,0
vope,2.7968611877294994e-05,0
rm2iscoming,2.746239265779644e-05,0
targeting,2.6956173438297887e-05,1.523422848434841
osu,2.6576509023673975e-05,3.2647990086803613
goblue,2.6576509023673975e-05,2.2647990086803613
askdragons,2.6196844609050062e-05,6.18263990384942
sarri,2.5437515779802234e-05,1.0527417962786842
bof,2.4804741755429043e-05,2.68882529118646
howisurvivein4words,2.4804741755429043e-05,0
refs,2.4678186950554406e-05,2.2551810061187645
treaty,2.4551632145679768e-05,1.4261007758147937
antidrugscampaignbydss,2.4551632145679768e-05,0
vhope,2.4045412926181215e-05,3.6439710554021993
bron,2.4045412926181215e-05,1.8626113418775396
spurs,2.379230331643194e-05,1.1209096585501925
lonzo,2.3665748511557303e-05,2.2634579023408046
lakeshow,2.3665748511557303e-05,1.9771537171841633
puig,2.3286084096933387e-05,3.79032248107066
melo,2.315952929205875e-05,3.5023524441049543
straykids,2.2906419682309474e-05,1.573961334154457
sehun,2.240020046281092e-05,1.237940248977146
hobi,2.240020046281092e-05,1.4756318066964764
revolutionwithjadineinbaguio,2.240020046281092e-05,0
devin,2.2273645657936284e-05,1.9188372215933405
lance,2.2147090853061646e-05,1.065894940266283
dipika,2.2147090853061646e-05,3.355401557461268
espn,2.189398124331237e-05,1.2799249842120952
barkley,2.126120721893918e-05,2.822576680075287
saturdaymorning,2.1134652414064543e-05,2.550929143936785
morata,2.1008097609189902e-05,2.5422642828096573
worldseries,2.1008097609189902e-05,1.7767295364466804
2monthstozero,2.0754987999440627e-05,0
unveil,2.062843319456599e-05,1.9309905049726541
tatum,2.062843319456599e-05,1.3567544108445566
kemp,2.0375323584816715e-05,1.2965078684076992
punches,2.0375323584816715e-05,2.083104230298506
clemson,1.986910436531816e-05,2.7248800061881537
lfc,1.986910436531816e-05,2.46184560035436
salah,1.986910436531816e-05,1.9764187731841178
lukaku,1.9615994755568886e-05,1.7652773516243327
apc,1.936288514581961e-05,1.009575194876541
c9,1.8856665926321058e-05,3.708321466812257
cp,1.873011112144642e-05,2.376678217091683
buckeyes,1.8350446706822505e-05,4.084099535643873
ladetermined,1.8223891901947867e-05,1.88648844389548
healthforthemarginalised,1.8223891901947867e-05,0
punt,1.809733709707323e-05,1.024533418220691
penn,1.7970782292198592e-05,1.1577733761181612
ter,1.759111787757468e-05,2.669494563737746
pads,1.7211453462950764e-05,1.4611385701804986
btsinparisd2,1.7084898658076127e-05,0
hader,1.6831789048326852e-05,1.8439956637101929
rm2,1.6578679438577573e-05,6.107538448608702
mata,1.6578679438577573e-05,1.435113106637206
sanitary,1.6578679438577573e-05,1.552949596931064
