word, today's frequency, log2(freq.today/freq.ystdy)
regular,0.00026209408532334256,1.9072651521853003
columbus,0.00021069420854718813,2.8263581359167045
google,0.00021069420854718813,1.4847065205687633
nct127,0.00020469378240371637,2.8565250432924185
climate,0.00018454140780866022,1.3475050846605858
brees,0.00014276485597958314,5.458328085606982
eng,0.00014140626892823106,4.44453328688672
drew,0.00013948160393881557,2.3341595171927567
hurricane,0.00011797064229240733,1.7531272468124548
raw,0.00010902661087100601,1.6898286950647639
indigenous,0.00010687551470636518,2.5287195361091706
09,9.781826769735119e-05,1.288372162534437
aldubpulloffate,9.362929095568222e-05,0
mondaymotivation,8.106236073067529e-05,1.0303565904606713
saints,7.732624633945701e-05,2.209663723008813
yankees,7.121260460837256e-05,2.279041896758633
christopher,6.838221491805569e-05,2.5663052660461534
native,6.079677054800646e-05,1.1487512912629014
indians,5.921175232142902e-05,2.1621704501645125
redskins,4.856948708583757e-05,3.1031080132641384
sox,4.630517533358407e-05,1.8473530739828323
127,4.3474785643267196e-05,1.2786570077012251
jake,4.019153360249962e-05,1.6296507396708064
astros,3.9172593313985545e-05,2.8239292990219425
jaehyun,3.758757508740809e-05,1.4175377392057507
metrolovesmaymay,3.475718539709122e-05,0
rosenstein,3.317216717051377e-05,3.4637636920897537
taeyong,3.192679570677435e-05,1.5605612835113496
jungwoo,3.158714894393632e-05,1.3931281494966934
portland,3.158714894393632e-05,1.3504838120882
indigenouspeoplesday,3.090785541826027e-05,3.5461885497247856
indigenouspeoplesday2018,3.0794639830647595e-05,6.0003258686925705
columbusday,3.022856189258422e-05,3.066668363521266
stayselcaday,3.000213071735887e-05,3.7147840634492066
swearing,2.8869974841232122e-05,2.9072164643010887
181009,2.8756759253619445e-05,5.901547714214397
shane,2.7737818965105372e-05,1.3417063262461049
imf,2.7737818965105372e-05,2.491948961826717
thecircle,2.7511387789880023e-05,1.345822434718337
mondays,2.705852543942932e-05,1.4918017405356168
showcase,2.637923191375327e-05,1.0491287175333115
hurricanemichael,2.6266016326140596e-05,5.448915927682441
brock,2.569993838807722e-05,1.673322324275373
himtoo,2.569993838807722e-05,4.279979896095848
infinity,2.502064486240117e-05,1.3788374919462998
antifa,2.434135133672512e-05,1.2687384542529305
roman,2.3548842223436397e-05,1.0741439344752917
alds,2.2643117522534998e-05,1.9717567164957992
lifechangingtipsforstudents,2.2190255172084298e-05,0
deputy,2.207703958447162e-05,1.0444599102254435
orleans,2.1963823996858948e-05,1.264848356185773
yuta,2.139774605879557e-05,1.520909141276428
yankee,2.0944883708344872e-05,1.7438047698174506
stoptheslaughterofanimals,2.0265590182668822e-05,0
holt,2.0152374595056145e-05,4.0666683635212655
communications,2.0039159007443472e-05,2.0585404826378655
ballon,1.9925943419830795e-05,1.8177057944018902
hernandez,1.9699512244605446e-05,3.2683436820406193
peyton,1.9586296656992772e-05,2.8239292990219425
boone,1.9246649894154746e-05,3.514899041522328
kimmel,1.9133434306542072e-05,2.613302745583323
nct127onkimmel,1.9133434306542072e-05,5.313742463724415
rod,1.8907003131316723e-05,1.2965673199162828
kiervi,1.8793787543704046e-05,3.5874627406480633
redsox,1.8793787543704046e-05,3.117977457346843
jongdae,1.8567356368478696e-05,2.6265588422855894
mnf,1.8567356368478696e-05,3.022487518616729
winwin,1.8227709605640673e-05,1.5158594509936483
distribution,1.7774847255189973e-05,1.300593180725339
vmdeathofloki,1.7661631667577296e-05,0
fallout,1.7548416079964623e-05,1.6971343363867935
playhouseplaypretend,1.7321984904739273e-05,0
intel,1.7208769317126597e-05,1.7013589222485186
shutting,1.7095553729513923e-05,1.7250030120652116
portal,1.6642691379063223e-05,1.3311756587539354
acl,1.6642691379063223e-05,1.0681412529201415
breach,1.6529475791450547e-05,1.7451355817041638
hicks,1.6416260203837874e-05,2.3923323993160728
ost,1.6416260203837874e-05,1.5381832657795276
graduated,1.6303044616225197e-05,1.2248070337569708
edwardonfirstlove,1.6303044616225197e-05,0
taeil,1.6189829028612524e-05,1.4288781744458952
inning,1.6076613440999847e-05,1.1557195513383942
thecirclefinal,1.5850182265774497e-05,0
tuesdaythoughts,1.5736966678161824e-05,7.031804100165738
fabatfive,1.5623751090549147e-05,0
kamara,1.5397319915323797e-05,3.192970946634966
wasvsno,1.5170888740098447e-05,5.3939897171788465
allnewinfinity,1.5057673152485772e-05,0
manifest,1.4944457564873097e-05,1.6718549279384356
fossil,1.4831241977260423e-05,1.1133960148149393
clintons,1.4831241977260423e-05,1.0155486914167944
ingram,1.4831241977260423e-05,1.5539686062009206
lhhh,1.4831241977260423e-05,0
nikki,1.4604810802035073e-05,1.169202780702016
nctzens,1.4378379626809723e-05,1.6920943485854467
d'or,1.4378379626809723e-05,1.9473514038275213
whodat,1.4378379626809723e-05,4.901547714214397
severino,1.4151948451584373e-05,4.293684811383161
apologizes,1.3812301688746348e-05,1.5956728515615315
validating,1.3812301688746348e-05,1.5956728515615315
jeffree,1.3585870513520998e-05,3.360322004413452
segment,1.3359439338295648e-05,1.151649887029347
arawgabiblessing,1.3359439338295648e-05,0
mcm,1.3246223750682973e-05,1.1685179029104271
antigua,1.3246223750682973e-05,1.6133027455833227
clerks,1.3133008163070298e-05,2.126987832795078
jv,1.3133008163070298e-05,1.8639534269612843
lynn,1.2906576987844948e-05,1.1607905408858161
prevention,1.2906576987844948e-05,1.1018968518322474
purge,1.2906576987844948e-05,1.5362996759780225
httr,1.2906576987844948e-05,2.497825528163387
suns,1.2680145812619598e-05,1.9653304473363662
manny,1.2680145812619598e-05,1.2939531947977367
webinar,1.2340499049781573e-05,1.1891942558894824
cambridge,1.2114067874556224e-05,1.1948983952060803
geil,1.2114067874556224e-05,1.3689277949811292
dodamage,1.2114067874556224e-05,4.654330013843378
diablo,1.2000852286943549e-05,1.9969272922307049
drummondville,1.2000852286943549e-05,1.3928559685618445
bepannaah,1.2000852286943549e-05,1.214518727303332
closure,1.1887636699330874e-05,1.072519693430716
manipulation,1.1887636699330874e-05,1.012398700993145
catastrophe,1.1547989936492849e-05,1.45600535246876
queso,1.1547989936492849e-05,3.263360274526364
dwts,1.1321558761267499e-05,2.3867942157746427
nordhaus,1.1321558761267499e-05,1.5567192172169553
xeno,1.1208343173654824e-05,2.372294646079528
khaled,1.1208343173654824e-05,1.957257146800684
aib,1.1208343173654824e-05,1.4129366305768738
pension,1.1095127586042149e-05,1.035719775227764
