word, today's frequency, log2(freq.today/freq.ystdy)
july,0.0015001875652755603,2.21935649320552
4th,0.0010363776242824918,3.6650709816763936
mgmavote,0.0008473064722903678,0
america,0.0006214250075210161,1.0361973076920061
fireworks,0.0005304031431991441,4.3300378452341075
exo,0.0004005631308576502,1.4174944091074009
reply,0.0003828272528831678,1.3671604722815351
independence,0.0003162340506770922,4.349475985678749
friday,0.00030586023525805536,1.033320734736224
fourth,0.00026904992248082767,2.8939647364127956
speech,0.0002646996127889735,2.0572154413123855
stranger,0.00024629445640035965,3.469493263533748
military,0.00022855857842587725,1.549533091143845
celebrate,0.00022186579428456313,1.5851897855130317
flag,0.0002088148652090006,2.1030094293634445
blackpink,0.00019977960661822652,2.101930087113964
army,0.0001971024929617009,1.0120774617882213
budget,0.000192417544062781,2.349789649130554
bless,0.00019074434802745247,1.019219531032241
earthquake,0.00018438620309320404,6.156176475862629
eu,0.0001827130070578755,1.6069722079711137
freedom,0.00018037053260841558,1.3483054419708123
rain,0.00017970125419428416,1.0659349088173211
parade,0.00017936661498721846,3.3938911332781525
ariel,0.00017869733657308704,6.110963898979025
190705,0.0001760202229165614,0
budget2019,0.00017267383084590434,0
07,0.00016363857225513027,2.4232436677692255
05,0.00015560723128555333,3.145820126923888
pakistan,0.00014657197269477926,2.059520280529667
holiday,0.00014489877665945072,2.064330086447786
celebrating,0.00014422949824531933,1.8949214307720508
airport,0.0001428909414170565,1.0441991313415513
4thofjuly,0.0001425563022099908,6.521943181683516
celebration,0.00013720207489693949,2.8817511602419668
british,0.00012850145551323113,1.6533778147228866
jennie,0.00012314722820017983,3.436326399598549
airports,0.00011444660881647147,4.790048577064731
mermaid,0.00011043093833168301,4.153555775703493
disney,0.00010942702071048589,1.403414792789554
dc,0.00010775382467515736,1.4551854268498647
baekhyun,0.00010708454626102595,2.2022710607365212
washington,0.00010641526784689453,1.3812982692860858
crowd,0.0001050767110186317,1.344888716183098
trumpparade,0.00010239959736210606,0
andready,9.93878444985147e-05,0
cr,9.604145242785764e-05,1.1972529859698964
govt,9.537217401372623e-05,1.084070675382209
tofight,9.436825639252912e-05,0
prince,9.403361718546341e-05,1.484254569371305
nature,8.934866828654352e-05,1.0578525625194624
independenceday,8.934866828654352e-05,0
replies,8.83447506653464e-05,1.2267656226572698
fourthofjuly,8.83447506653464e-05,6.416590181537287
sehun,8.7675472251215e-05,1.2970946069381148
strangerthings,8.734083304414929e-05,4.592747136691114
seventeen,8.566763700882075e-05,1.3498282491503788
fm,8.432908018055792e-05,2.5421210636211455
budgetfornewindia,7.930949207457234e-05,0
kst,7.629773921098098e-05,1.1827182633151205
pakvban,7.562846079684957e-05,0
nigeria,7.428990396858675e-05,1.0580874717507702
finance,7.428990396858675e-05,1.4661722103878472
hashtag,7.428990396858675e-05,1.2597213329204207
jul,7.19474295191268e-05,3.2134983161597748
rs,7.19474295191268e-05,2.728071488989533
ji,7.094351189792969e-05,1.1001165167420324
strangerthings3,6.960495506966686e-05,0
mall,6.826639824140403e-05,1.521059448093316
parliament,6.492000617074697e-05,1.8846460631156214
notmyariel,6.492000617074697e-05,0
04,6.358144934248416e-05,1.6201235756224193
curtis,6.324681013541845e-05,1.6125103915125438
nike,6.291217092835274e-05,1.7975018969115044
salute,6.291217092835274e-05,2.403222957799458
kindly,6.257753172128703e-05,1.1377308085418103
european,6.05696964788928e-05,1.039151935097297
salutetoamerica,6.0235057271827094e-05,0
july4th,5.990041806476139e-05,5.85601183944309
dey,5.956577885769568e-05,1.040574571087627
display,5.956577885769568e-05,1.2933406414675939
patriotic,5.923113965062998e-05,3.254839111540675
revolutionary,5.923113965062998e-05,2.3803699936245337
slavery,5.889650044356427e-05,1.8316276808161305
halle,5.789258282236715e-05,0
teaser,5.5215469165841504e-05,1.2149563203676363
