word, today's frequency, log2((freq.today-freq.ystdy)/freq.ystdy)
ronaldo,0.0004381628108290564,4.387915445758438
spain,0.00028416233025395745,2.250577277531355
manafort,0.00026310243547445676,4.290974316383129
blackpink,0.00024438252900378947,2.0469873394428997
paul,0.00022580887180242425,1.3511119589153557
portugal,0.00020840520875547576,2.666171551130182
jail,0.00020460272775362146,1.3956800114693797
du,0.00016496917577275553,2.1618667137542507
mainesingswithbwboys,0.00016379918161833884,0
ddu,0.00015634046888393234,2.338407121682487
aldub35thmonthsary,0.00015253798788207804,0
kawhi,0.00014785801126441123,4.68195454837111
iran,0.00014230053903093186,1.368666930182037
cristiano,0.00013718181460535878,3.9888688782623154
score,0.00012913810479374394,1.0141691226538172
messi,0.00012840685844723348,2.3966703048398057
streaming,0.00012738311356211887,1.0518786757881156
gea,0.00012241063840584787,5.2288988333766175
hat,0.0001095407027072641,1.4978882877835693
egypt,0.00010807821001424321,1.32935349416516
eidmubarak,0.0001019357407035555,2.1819279883616316
poresp,9.506202504635737e-05,0
trick,8.83345586584613e-05,2.1452428832606
lakers,8.58483210803258e-05,2.0100786888365594
morocco,8.511707473381536e-05,2.0107934914602374
uruguay,7.985210103894019e-05,1.5810939302729585
scored,7.736586346080469e-05,1.5148504217918455
squareup,7.47333766133671e-05,3.0194948422930783
costa,7.22471390352316e-05,3.4681822524109513
lucifer,6.946840291849191e-05,1.9140990645737672
mp,6.464217703152301e-05,1.0114761289939926
nas,6.09859452989708e-05,1.5562939333578083
chope,6.010844968315827e-05,0
witness,5.923095406734574e-05,1.002269419153699
christopher,5.820720918223112e-05,1.1146194656752957
trial,5.762221210502277e-05,1.0694583447546002
spurs,5.747596283572068e-05,2.13820052308488
blinks,5.703721502781442e-05,2.106083719048055
tariffs,5.528222379618936e-05,1.0402372693527195
por,5.498972525758518e-05,2.3038857186266783
esp,5.4843475988283094e-05,2.485599305488361
diego,5.177224133293924e-05,1.6998439808126862
keith,5.0748496447824625e-05,2.0687897911549578
goat,4.840850813899121e-05,1.454403312826818
bail,4.7092264715272417e-05,2.1053047260264885
leonard,4.372853152132439e-05,3.3077175802177052
cr7,4.343603298272021e-05,4.236634482156223
suarez,4.255853736690768e-05,1.563334514489016
penalty,4.094979540458471e-05,1.4146327841342172
upskirting,4.0364798327376355e-05,0
fridayfeeling,3.9926050519470094e-05,5.11507250227531
jennie,3.9487302711563827e-05,2.639699339768991
hardwick,3.919480417295965e-05,6.0884045518132295
chanyeol,3.890230563435547e-05,1.2196168017290745
maine,3.8317308557147124e-05,1.8858133614505952
glasgow,3.700106513342833e-05,1.342343923327338
giuliani,3.685481586412624e-05,1.175166849438828
tampering,3.568482170970953e-05,3.730660277581895
rudy,3.568482170970953e-05,1.1804631950214157
abc,3.5538572440407445e-05,1.3621653642400817
egyuru,3.451482755529283e-05,5.904958410717298
pardon,3.378358120878239e-05,1.6010459083650987
pg,3.36373319394803e-05,1.0098244171722601
jisoo,3.129734363064689e-05,1.9911928438596767
iceland,3.056609728413645e-05,1.085818303661615
shiro,3.0273598745532266e-05,2.978836724688576
nacho,3.012734947623018e-05,5.708815888538675
occasion,3.012734947623018e-05,1.1039538303798144
savetheshadowworld,2.9688601668323915e-05,6.272613779261789
keeper,2.9542352399021825e-05,1.5106018426649395
scoring,2.924985386041765e-05,1.0613094929713207
lucifersaved,2.924985386041765e-05,0
yg,2.8811106052511386e-05,1.44796996800833
jailed,2.8226108975303032e-05,1.3170918499828523
timeless,2.764111189809468e-05,1.3881605727730264
ramos,2.764111189809468e-05,1.6149314346200485
prosperity,2.7202364090188413e-05,1.2884556780570722
bp,2.7056114820886326e-05,1.7811073179748416
1m,2.690986555158424e-05,2.2728588230060542
melon,2.6471117743677975e-05,1.3792032945966193
180615,2.6324868474375884e-05,2.1922403627977696
antonio,2.6324868474375884e-05,1.0547368390478347
nasir,2.4862375781355e-05,2.0166687982143148
voltron,2.3984880165542473e-05,1.5725124439159366
karius,2.3984880165542473e-05,4.157474944637093
180616,2.325363381903203e-05,0
sentenced,2.266863674182368e-05,1.359840311293838
cube,2.1937390395313238e-05,1.3766649339351968
lawn,2.1937390395313238e-05,1.443779129793734
goalkeeper,2.1206144048802796e-05,1.4296349474734638
traded,2.091364551019862e-05,1.0392287442918031
kyrie,2.091364551019862e-05,1.1524393547397944
revoked,2.0474897702292355e-05,2.64909803777124
luis,2.0474897702292355e-05,1.2129989229645668
cambridge,2.0474897702292355e-05,1.0927046892468548
