word, today's frequency, log2(freq.today/freq.ystdy)
amazon,0.00044044333487376625,2.539547234847622
chicken,0.00024991157570797523,1.3542767563034392
22,0.0002091202234746487,1.3802007223958919
21,0.00020085868378182307,1.3056855234012092
sony,0.00019879329885861665,4.95373882671971
spider,0.00019311349031979905,2.562769087402697
popeyes,0.00019078993228119183,3.929220163444274
burning,0.00018924089358878703,2.675098159862891
disney,0.00017813944962655258,2.0688530928582307
sandwich,0.00017323416043393738,2.7212458154142927
israel,0.0001543875230096789,2.038828782775072
rainforest,0.0001543875230096789,6.396380787393156
chosen,0.0001481913682400597,2.9915112030290083
planet,0.00013992982854723406,1.0066006411053368
greenland,0.000120566844892174,5.039657852904713
jews,0.0001203086717767732,2.212136822432785
results,0.00011979232554597159,1.0303601083226228
forest,0.00010869088158373715,2.2082314962877017
minister,0.00010559280419892755,1.0324192105757712
mcu,9.629857204449872e-05,2.7457845824938074
spiderman,9.474953335209392e-05,4.576538148618328
denmark,9.036059039028029e-05,4.508113007607443
fires,8.700433989006989e-05,3.1539463950980653
moa,8.442260873606188e-05,5.525525938693133
jewish,8.261539692825628e-05,1.524680857125932
loudre,7.977549265884746e-05,3.636487219041821
marvel,7.900097331264506e-05,1.5552978379715614
prayforamazonas,7.900097331264506e-05,0
lover,7.745193462024025e-05,1.3714504602968793
teeth,6.996491427361703e-05,1.1252451376039558
veterans,6.944856804281543e-05,1.7627147860150585
brazil,6.712501000420823e-05,2.051788972381462
satlok,6.686683688880742e-05,7.774149901602761
chidambaram,6.635049065800582e-05,5.178003662388929
peter,6.454327885020021e-05,1.2473924676118961
jay,6.454327885020021e-05,1.494307208082413
fornescafe,5.834712408058099e-05,0
ford,5.783077784977939e-05,1.2071445313557272
190822,5.757260473437859e-05,7.558241513836512
oxygen,5.550721981117218e-05,3.113217040726907
cbi,5.524904669577138e-05,7.4988086003173535
fil,5.524904669577138e-05,1.5680712627544675
holland,5.524904669577138e-05,3.0393769816800567
amazonrainforest,5.240914242636257e-05,0
sandwiches,5.163462308016017e-05,2.8776358476339188
amendment,5.137644996475937e-05,1.036414229841772
disabled,4.982741127235457e-05,1.5684389376596277
loan,4.905289192615216e-05,1.2611080317893824
txt,4.905289192615216e-05,1.494307208082413
gcseresultsday2019,4.750385323374736e-05,0
trees,4.6471160772144156e-05,1.0792697088035692
kiano,4.6471160772144156e-05,1.822929955543784
190821,4.440577584893775e-05,0
inslee,4.363125650273534e-05,5.158221050198391
recession,4.3373083387334546e-05,1.6260970806379547
bighit,4.3373083387334546e-05,2.342304114637363
bb21,4.1824044694929735e-05,1.9272666153585192
demo,4.130769846412814e-05,1.5557077527465566
lungs,4.130769846412814e-05,2.1250733984166943
chiranjeevi,4.130769846412814e-05,0
citizenship,4.0791352233326534e-05,1.1303850245304234
supreme,4.0791352233326534e-05,1.1784793127314686
prayfortheamazon,3.975865977172333e-05,0
tee,3.950048665632253e-05,1.7668019431652733
mets,3.898414042552093e-05,2.1377653581137137
megastar,3.846779419471933e-05,4.976510134378368
electoral,3.820962107931853e-05,1.6092429749270731
omar,3.717692861771532e-05,1.1723791131950507
indigenous,3.640240927151292e-05,1.342304114637363
overrated,3.640240927151292e-05,1.1420054641515323
prayforamazonia,3.640240927151292e-05,0
soribada,3.588606304071132e-05,4.06892776458211
forstarhuntcorner,3.5369716809909714e-05,0
christie,3.511154369450892e-05,2.4524870323877863
hbdevergreenmegastar,3.511154369450892e-05,0
gcse,3.433702434830651e-05,5.227661548696241
carpet,3.407885123290571e-05,1.6724527163296936
sigh,3.407885123290571e-05,1.342304114637363
kindle,3.382067811750491e-05,1.1183392734821616
cubs,3.278798565590171e-05,1.7460263006883727
bolsonaro,3.2529812540500906e-05,3.275189918778826
brazilian,3.1497120078897706e-05,2.103116450757937
merkel,3.1497120078897706e-05,5.103116450757937
trauma,3.09807738480961e-05,1.049522365409517
dame,3.02062545018937e-05,1.9272666153585192
antifa,2.9948081386492897e-05,1.0303601083226228
delhi,2.9948081386492897e-05,1.0303601083226228
davis,2.8915388924889697e-05,1.2427684410864488
amazonfire,2.8657215809488895e-05,0
hitler,2.8140869578687294e-05,1.1679739340750495
garu,2.8140869578687294e-05,2.8250862205520413
birthright,2.8140869578687294e-05,6.525525938693133
savespidermanfromsony,2.8140869578687294e-05,0
parker,2.7882696463286492e-05,1.5580328056928003
antichrist,2.762452334788569e-05,5.4988086003173535
hbdmegastarchiranjeevi,2.762452334788569e-05,0
boycott,2.7366350232484892e-05,1.2373345550358206
tlaib,2.710817711708409e-05,3.8866246308611734
spidey,2.659183088628249e-05,2.858879640378269
ghar,2.6333657770881687e-05,6.429766955887702
apna,2.6333657770881687e-05,4.844804455166546
burned,2.6075484655480886e-05,1.245628095225689
nicole,2.6075484655480886e-05,1.0936250017806395
provides,2.5817311540080084e-05,1.231272802248619
mamamoo,2.5559138424679285e-05,1.2167732325535041
disloyal,2.5559138424679285e-05,2.8017357332746604
25thamendmentnow,2.5559138424679285e-05,4.3866982339958165
jew,2.5300965309278483e-05,1.9797340352526547
amazonia,2.504279219387768e-05,0
semitic,2.504279219387768e-05,2.54989953404573
blink,2.504279219387768e-05,1.0353263612159722
joker,2.504279219387768e-05,1.6568147379622422
isapasoonworldwide,2.504279219387768e-05,0
carbon,2.4784619078476883e-05,1.1328507490084134
2k20,2.4784619078476883e-05,1.7573416139162068
alwaysness,2.452644596307608e-05,0
deputy,2.401009973227448e-05,1.7729384689672256
danish,2.401009973227448e-05,3.4891455029666343
divorce,2.375192661687368e-05,1.1934407287228803
nba2k20,2.375192661687368e-05,2.5804638518321275
pence,2.375192661687368e-05,1.1934407287228803
