word, today's frequency, log2(freq.today/freq.ystdy)
exo,0.0003722882809404933,1.1638816759913444
lebron,0.0003271299573889121,1.3217023178263088
bangladesh,0.00019287961923726213,3.807466656997362
friendship,0.00013624036596917723,1.791346991634085
wewantjustice,0.00013578112878051709,6.593830682138993
personality,9.919523275059195e-05,1.629928471445174
portland,9.09289633547093e-05,1.6438006460267318
obamaday,8.159114051861962e-05,0
raped,7.699876863201814e-05,1.830596531835917
aldubendures,7.47025826887174e-05,0
05,7.011021080211592e-05,1.296836353637059
lemon,6.88855782990222e-05,1.243262716443003
barry,6.674247141860816e-05,2.5513028046175927
aspect,6.444628547530743e-05,2.3328502655929912
chuckle,6.260933672066683e-05,4.155069325892315
happyexolday,6.153778328045982e-05,0
antifa,5.954775546293252e-05,2.4786673142678977
180805,5.801696483406536e-05,8.689022520896383
baekhyun,5.2353039507256866e-05,1.1657815662642643
ufc227,5.1281486067049856e-05,3.2630582546268405
exol,5.1128407004163136e-05,3.114355352420583
lewis,5.1128407004163136e-05,1.5179880884271777
barack,4.6382956054674946e-05,1.9567515300605405
patriot,4.423984917426092e-05,1.3436978548390948
4yearsasexol,4.2402900419620326e-05,0
ls,4.1790584168073463e-05,1.3577446285175716
melania,4.1331346979413315e-05,2.13369488931835
protesting,4.1331346979413315e-05,1.8599340768914976
maduro,3.964747728765944e-05,4.232886174803327
patrick,3.949439822477272e-05,1.5194858940333371
bangladeshi,3.4136631023737664e-05,2.1425086691209363
iq,3.321815664641737e-05,1.212094373198275
beaten,3.245276133198379e-05,1.2070327475137659
picard,3.214660320621036e-05,6.252251499670258
thai,3.168736601755021e-05,1.2772966291165853
bt21,3.122812882889006e-05,1.195480982509659
venezuela,3.0003496325796333e-05,2.0652529848690038
trek,2.9850417262909616e-05,2.0023783419117027
straykidsiamwho,2.9850417262909616e-05,0
asapagostomotokisses,2.8472705696929174e-05,0
stewart,2.709499413094873e-05,1.7079309834464476
mostrequestedlive,2.709499413094873e-05,7.590574032808289
cody,2.6176519753628433e-05,1.2740344569162878
jean,2.6023440690741716e-05,1.2655728781680917
kaushal,2.5411124439194854e-05,2.974445958015203
cdp,2.4645729124761275e-05,2.283960359397596
fascists,2.4645729124761275e-05,1.6725256473152488
ssmbbirthdaycdp2k18,2.4492650061874557e-05,0
drone,2.433957099898784e-05,1.2070327475137659
randy,2.403341287321441e-05,1.534946182255077
exols,2.3880333810327692e-05,2.0160532788087795
weareoneexo,2.3727254747440978e-05,1.0953121398224261
happyfriendshipday,2.357417568455426e-05,5.389755023420193
mj,2.2655701307233964e-05,1.1425972894742238
cejudo,2.2349543181460533e-05,4.312793041605309
gg4eva,2.2196464118573816e-05,3.215414731489886
moss,2.2043385055687102e-05,1.5649730296044044
msgsaysleavejealousy,2.2043385055687102e-05,0
venezuelan,2.1737226929913668e-05,3.9507875073426106
watson,2.1431068804140237e-05,2.0823264982279452
jealousy,2.1431068804140237e-05,1.608395309895533
snsd,1.974719911238636e-05,1.326840816090941
persona,1.944104098661293e-05,1.180915831934571
hicks,1.944104098661293e-05,3.4112134513563652
hof,1.9287961923726213e-05,1.1460520958383325
tj,1.9287961923726213e-05,1.8907950405962577
abyrinth,1.9287961923726213e-05,0
aghostokomaywardsaasap,1.8981803797952782e-05,0
wansaiagkpagtanggap,1.867564567217935e-05,0
booker,1.8063329420632485e-05,1.0056115320871324
lfc,1.791025035774577e-05,1.0864426067001773
seagal,1.7757171294859054e-05,0
friendshipday,1.7451013169085623e-05,3.496426878252736
dillashaw,1.7297934106198906e-05,2.6952199316968937
assassination,1.6991775980425475e-05,1.747459347633085
auntie,1.6991775980425475e-05,1.5598323444573134
saturdaymorning,1.668561785465204e-05,1.4988353847234572
troy,1.6532538791765327e-05,1.0198749897611878
eris,1.6532538791765327e-05,1.87785598488876
martial,1.6532538791765327e-05,1.451591230186662
raping,1.6532538791765327e-05,1.2928934841676036
asaram,1.6532538791765327e-05,1.0198749897611878
drones,1.6226380665991896e-05,1.721605920343524
satyamevjayate,1.6226380665991896e-05,0
11yearswithgirlsgeneration,1.6226380665991896e-05,0
momo,1.607330160310518e-05,1.313652044334401
wedemandjustice,1.607330160310518e-05,0
upcomingmovie,1.607330160310518e-05,0
felix,1.592022254021846e-05,1.0685206987029148
msgexplainstruefriendship,1.592022254021846e-05,0
tortured,1.561406441444503e-05,1.0140341111721274
garbrandt,1.561406441444503e-05,2.625468823254475
wannables,1.5460985351558313e-05,1.8269836550902108
dawkins,1.53079062886716e-05,2.4448965776126537
sokoto,1.5001748162898167e-05,2.2141163707834863
napoli,1.5001748162898167e-05,2.5677533253981872
luc,1.4848669100011451e-05,4.137918824191263
dhaka,1.4695590037124734e-05,3.0074912653053554
seulgi,1.4542510974238018e-05,1.0489679012815145
d2,1.4542510974238018e-05,3.1078615903350832
malec,1.4542510974238018e-05,1.7859334954477204
friendshipday2018,1.4389431911351303e-05,0
dumbthingsibelieved,1.4236352848464587e-05,0
malecforever,1.4236352848464587e-05,0
fanmeeting,1.331787847114429e-05,1.2439838836866572
pitso,1.3164799408257575e-05,4.964270736706233
absaprem,1.3164799408257575e-05,2.46177039617705
dummy,1.2858641282484142e-05,1.427823064253712
utd,1.2705562219597427e-05,1.3280829126299039
defendpdx,1.255248315671071e-05,3.6731655652857707
nicolas,1.2399404093823994e-05,2.555927890001397
biggbosstelugu2,1.2399404093823994e-05,1.87785598488876
227,1.2093245968050563e-05,1.8417867301812383
maymay,1.2093245968050563e-05,1.2172958652734445
unveil,1.1940166905163846e-05,1.4083707015875395
insiders,1.1940166905163846e-05,2.0160532788087795
oh12,1.1940166905163846e-05,1.3639765822290864
pfhof18,1.1940166905163846e-05,1.501480105979021
fillsunfriendshipday,1.1940166905163846e-05,4.40837070158754
brutally,1.178708784227713e-05,1.3453609040617391
akpabio,1.178708784227713e-05,2.5824001013625884
akron,1.1634008779390415e-05,1.3265018768104235
ment,1.14809297165037e-05,1.4448965776126534
taeyeon,1.1174771590730267e-05,1.142868040162996
speeches,1.1021692527843551e-05,1.2484993648091505
aljazeera,1.1021692527843551e-05,3.7079309834464476
cosmichuman,1.1021692527843551e-05,6.292893484167604
wannaone1theworldinbkk,1.1021692527843551e-05,2.205430642917264
martiallawgalanight,1.1021692527843551e-05,0
day2,1.0868613464956834e-05,3.9507875073426106
alisson,1.0868613464956834e-05,1.414734607102401
xiumin,1.0562455339183403e-05,1.2314929395034604
por,1.0562455339183403e-05,1.0615679380611482
walangiwananmiho,1.0562455339183403e-05,0
explosion,1.0409376276296687e-05,1.2562350135887554
sundays,1.0409376276296687e-05,1.1229684827252913
jaejoong,1.025629721340997e-05,1.3310766780554917
kaushalarmy,1.025629721340997e-05,2.1015948319327244
nani,1.0103218150523255e-05,3.167362602083745
tel,1.0103218150523255e-05,1.260472006475226
gerrard,1.0103218150523255e-05,1.3093816069561726
startrek,1.0103218150523255e-05,2.7079309834464476
