word, today's frequency, log2(freq.today/freq.ystdy)
24,0.0003283645710459128,1.183363653786048
venezuela,0.00024048477767973868,4.493847472733975
25,0.00023951551525290587,1.0299421290629607
bestfanarmy,0.00011825001607360191,9.069655118103828
ross,0.00010037250908979688,2.703895906807943
ted,9.811089676052034e-05,2.192969709151069
cole,9.477232617920736e-05,2.492964649930637
apologize,9.337228045155998e-05,1.5341241078982164
abortion,9.19722347239126e-05,1.6958577832958652
maduro,9.186453889870896e-05,5.245963091779622
chelsea,8.432583113445383e-05,1.2199175026544284
190124,7.851025657345701e-05,0
wilbur,7.829486492304972e-05,5.889841832297067
covington,7.129463628481281e-05,6.532325263848243
catholic,6.74175865774816e-05,1.7354496699742346
therefore,6.612523667503787e-05,1.516842106802686
adnpraysforaldub,6.33251452197431e-05,0
nationalcomplimentday,5.998657463843011e-05,0
tiffany,5.847883308557909e-05,2.009407047544537
banks,5.7940353959560864e-05,1.14563737834731
secretary,5.761726648394993e-05,1.2510281468624789
socialism,5.600182910589526e-05,2.196944725776978
wealth,5.5463349979877036e-05,1.0290541695845323
phillips,5.5247958329469743e-05,4.164452872648079
spurs,5.449408755304423e-05,1.8967039182917498
bundy,5.309404182539685e-05,5.329474114755384
native,4.9216992118065644e-05,1.2581486742690624
grocery,4.857081716684377e-05,1.4284243977359266
nathan,4.7709250565214614e-05,3.1454458235384393
paycheck,4.6847683963585456e-05,1.0614390278632242
coup,4.673998813838181e-05,2.4267632633660057
socialist,4.587842153675265e-05,1.1568079394368307
resident,4.490915910991985e-05,1.415508509850641
beliebers,4.38322008578834e-05,7.637877763364876
hats,4.2862938431050605e-05,1.497092942864109
venezuelan,4.221676347982873e-05,4.0601406671568245
190125,4.124750105299593e-05,8.550193361023586
elf,4.103210940258864e-05,2.220711871704589
25th,4.081671775218135e-05,1.1087820625676228
vietnam,3.963206367494126e-05,1.7646342805924429
jihoon,3.952436784973762e-05,1.3801045751636731
memyselfandi,3.87704970733121e-05,1.2129183619847184
kamala,3.8555105422904814e-05,1.8678460556417293
cruz,3.833971377249752e-05,2.2748012086227143
hyunsuk,3.758584299607201e-05,3.509185409699763
loans,3.672427639444285e-05,1.033892553891724
laughter,3.6616580569239205e-05,1.3449607136988806
24th,3.640118891883192e-05,1.4040879307187264
compliment,3.586270979281369e-05,1.3825868615078043
gandhi,3.564731814240641e-05,1.5583204723811874
henry,3.478575154077725e-05,1.3618686284533144
mashiho,3.349340163833351e-05,2.8234987945271337
proposal,3.306261833751893e-05,1.164998434011036
penalty,3.2954922512315287e-05,1.5825244320165561
wannaonethereforeconcert,3.284722668711164e-05,0
tottenham,3.241644338629706e-05,2.094087999080162
shah,3.166257260987155e-05,1.2379277863721072
wannaone,3.144718095946426e-05,2.6352553819216338
apology,3.080100600824239e-05,1.041401274626679
maymayforxpeditionmag,3.0693310183038745e-05,0
commerce,3.0585614357835105e-05,1.4748837088285867
chetot,3.0370222707427812e-05,0
hazard,3.0154831057020523e-05,1.7944950478664927
playhouseseparateways,2.8970176979780432e-05,0
weezer,2.8754785329373143e-05,4.570257092148886
sala,2.7893218727743984e-05,3.7378735533415974
clearance,2.778552290254034e-05,1.8716955777437143
ckvivoreealbumlaunch,2.7462435426929405e-05,5.155991293899883
gaon,2.7354739601725762e-05,3.257237747729703
jared,2.7139347951318473e-05,1.2320271849324231
billionaire,2.7031652126114826e-05,1.355573832328245
kthsoloiscoming,2.6816260475707537e-05,0
remake,2.6708564650503894e-05,1.1030101270703168
warren,2.6600868825300247e-05,1.0844699965185651
airbus,2.6600868825300247e-05,3.917360010683307
oscar,2.6600868825300247e-05,1.2449346687118112
abortions,2.595469387407838e-05,1.8595143023001364
btsarmy,2.573930222367109e-05,2.4775421643006172
bryan,2.530851892285651e-05,2.2016535358889042
cave,2.509312727244922e-05,1.2633233154219616
happylucasday,2.4985431447245578e-05,7.826973774226201
priyanka,2.4446952321227352e-05,3.7080784251392047
limelights,2.4446952321227352e-05,3.98818634433194
burns,2.433925649602371e-05,1.1744618973986087
irene,2.4231560670820063e-05,1.0823342521745742
dictator,2.4016169020412773e-05,1.278039582689259
satnam,2.3800777370005484e-05,5.434967243602698
cuomo,2.3585385719598194e-05,1.836889243091284
peanut,2.3585385719598194e-05,1.3514624159210422
wef19,2.347768989439455e-05,3.2136151478185426
kushner,2.2616123292765393e-05,1.8503482826000102
billionaires,2.250842746756175e-05,1.8949921976548525
venezuela's,2.2185339991950814e-05,3.5680304650315082
tapes,2.207764416674717e-05,1.539948421825906
emiliano,2.1969948341543524e-05,4.834063199012521
woojin,2.1646860865932592e-05,1.8651569681140894
groceries,2.0892990089507077e-05,1.568905621285757
niall,2.0785294264303434e-05,1.4117026968620277
daehwi,2.0462206788692498e-05,2.7839608852661084
salmond,2.0354510963488855e-05,3.9462727025985456
julia,2.0139119313081565e-05,1.4284243977359266
oby,1.9492944361859697e-05,5.468838666181835
bharatkateaser,1.938524853665605e-05,0
190123,1.9277552711452407e-05,0
bennet,1.9277552711452407e-05,7.452808556362886
blackface,1.916985688624876e-05,4.444726210065027
mrmajnu,1.916985688624876e-05,2.586745214937455
penalties,1.9062161061045118e-05,2.1511961103193786
venezuelans,1.895446523584147e-05,6.4284243977359266
kendrick,1.895446523584147e-05,1.9048624416789133
restart,1.863137776023054e-05,1.0816929118479914
couture,1.8308290284619603e-05,2.9860662924575707
intervention,1.8092898634212313e-05,1.6333897473141903
sarri,1.798520280900867e-05,2.4947160764451093
drum,1.798520280900867e-05,1.182772070130369
fewhoursto100thbirthday,1.7877506983805023e-05,0
hanbin,1.776981115860138e-05,1.0133868984570826
leeteuk,1.776981115860138e-05,2.8758833747071475
fyre,1.7446723682990444e-05,3.308842781983254
rumble,1.6908244556972222e-05,1.563173809849164
karjonzambonggasakilig,1.6908244556972222e-05,0
emerson,1.680054873176858e-05,2.4470400759032738
thefirstlineofmyautobiography,1.680054873176858e-05,0
cfc,1.6692852906564933e-05,1.9231890894855044
dreamlaunch,1.6692852906564933e-05,0
endtheshutdown,1.6692852906564933e-05,1.3382265887643483
unborn,1.658515708136129e-05,2.148316478543191
jong,1.615437378054671e-05,2.1978114695945106
jaehwan,1.615437378054671e-05,2.6742495135374975
monaco,1.615437378054671e-05,3.0278864681521975
sishielaatzekena,1.5831286304935775e-05,0
ladder,1.572359047973213e-05,1.2280800004157602
superbowl,1.5508198829324842e-05,1.6153558244839286
bishop,1.5508198829324842e-05,1.0096347635959753
kaduna,1.5292807178917553e-05,2.5951779425462984
thierry,1.5292807178917553e-05,3.3113849765457073
oscars,1.5185111353713906e-05,1.9386191300551103
yixing,1.5185111353713906e-05,1.0641500121389695
itzy,1.5077415528510261e-05,6.098275796043596
re2,1.5077415528510261e-05,3.0982757960435956
giroud,1.4754328052899327e-05,2.9795620208088165
5sosfam,1.4754328052899327e-05,4.745096767171793
payday,1.4646632227695682e-05,1.5970240017116712
bambam,1.4538936402492038e-05,1.0234405631210055
mingyu,1.4323544752084748e-05,1.7388729957375704
sandmann,1.4323544752084748e-05,0
apologizetoleeteuk,1.4215848926881103e-05,0
transgender,1.410815310167746e-05,1.1197727312742383
guaido,1.410815310167746e-05,4.417453279914923
adn184thweeksary,1.410815310167746e-05,0
kante,1.4000457276473815e-05,2.9038977508767445
suju,1.4000457276473815e-05,2.743433078683498
goamining,1.4000457276473815e-05,2.991360592127084
alonso,1.389276145127017e-05,2.892757193271544
manikarnika,1.389276145127017e-05,3.1728651124642795
controllers,1.3785065626066526e-05,1.086349729736788
pope,1.3785065626066526e-05,1.0621021834901108
maywardforspottedsoon,1.3785065626066526e-05,0
sundance,1.3677369800862881e-05,1.8702146246204556
layoffs,1.3569673975659236e-05,3.3613102018773895
testify,1.3569673975659236e-05,1.3916838509209084
interim,1.3461978150455592e-05,1.2623517217892206
educationday,1.3461978150455592e-05,0
whatatime,1.3461978150455592e-05,0
womb,1.3354282325251947e-05,1.1952686349223052
byounggon,1.3354282325251947e-05,1.835726248235165
felix,1.3354282325251947e-05,1.0652080943579323
100thincarnationday,1.3354282325251947e-05,0
karjonatkccbukasna,1.3354282325251947e-05,0
ned,1.3246586500048302e-05,2.1566197822744004
cardiff,1.3246586500048302e-05,1.2390819424663735
eden,1.3246586500048302e-05,1.296797440322661
yoonbin,1.3138890674844657e-05,2.8122672754111764
seunghun,1.3138890674844657e-05,1.729805115219203
gina,1.3138890674844657e-05,1.577802021774153
donaldtrumpsthetypeofguy,1.3138890674844657e-05,0
crews,1.3031194849641013e-05,1.1874162982321317
sethlieinvadeszamboanga,1.3031194849641013e-05,0
mascot,1.2923499024437368e-05,1.5904811558448995
wannables,1.2815803199233723e-05,3.2788480416854164
vcr,1.2815803199233723e-05,2.1633708242654808
scrubs,1.2815803199233723e-05,2.2788480416854164
dier,1.2815803199233723e-05,3.1633708242654808
gh,1.2600411548826434e-05,1.1389177805409416
composed,1.2600411548826434e-05,1.5174294037946712
elder,1.2600411548826434e-05,1.1114370441188346
minhyun,1.2600411548826434e-05,1.5914299852384481
lara,1.2600411548826434e-05,2.7518946574316945
calum,1.2492715723622789e-05,1.541571555363953
dyson,1.2492715723622789e-05,4.019618852168597
biden,1.2492715723622789e-05,1.6570487727838887
embassy,1.2385019898419144e-05,1.1706266402682797
kaosethgoestokccmall,1.2385019898419144e-05,0
nadal,1.22773240732155e-05,1.4799546983760086
socialists,1.22773240732155e-05,1.4799546983760086
kkk,1.22773240732155e-05,1.2472939415857334
lieatkcczamboanga,1.22773240732155e-05,0
smear,1.2169628248011855e-05,1.0078120279891571
coys,1.2169628248011855e-05,2.4672436466264545
nbaallstar,1.2169628248011855e-05,3.4672436466264545
jyp,1.206193242280821e-05,1.4187956965381499
2019it,1.1954236597604565e-05,3.0629689273076433
aldub184thweeksary,1.1954236597604565e-05,0
goa,1.184654077240092e-05,1.2909208739859914
sj,1.1738844947197276e-05,1.48924959043197
israelites,1.1738844947197276e-05,5.737177103875555
panther,1.1738844947197276e-05,1.0367373857344635
probowl,1.1738844947197276e-05,3.152214603154399
salman,1.163114912199363e-05,1.514426915633148
smirk,1.163114912199363e-05,1.9689927790986292
agfin,1.1523453296789986e-05,0
maharaj,1.1523453296789986e-05,3.010020047358684
exo's,1.1415757471586341e-05,1.0822033895466203
