word, today's frequency, log2(freq.today/freq.ystdy)
halloween,0.004166358917488847,1.6607104427077444
happy,0.0022649150118681165,1.0780498649239205
costume,0.0005317667918953079,1.5695266616460763
trick,0.0004632591488329735,1.7495206886237882
candy,0.00046242659067075763,1.7327466441107757
happyhalloween,0.00044339668982010916,2.783292699317498
spooky,0.0003754837311593575,1.4607712923048084
treat,0.0003292172847162184,1.0116288054749498
dressed,0.0002458425316143148,1.882504002756983
rose,0.0002446531628111493,2.1007651628873067
scary,0.00022276877683290357,1.0421434024054337
costumes,0.0002201521654659394,1.6561563133435724
treating,0.0001868498389773046,1.8128770269467196
smtownwonderland,0.00016698737996444026,2.394897877527494
halloween2018,0.0001387993393294172,1.8737382274011956
mama,0.00011703389023148804,1.1848196922162249
01,0.0001009774113887534,1.1295894334546912
tempoiscoming,0.00010002591634622098,0
treats,9.538737801387541e-05,1.2244590042931454
trickortreat,9.122458720279606e-05,2.366534222808585
derrick,8.123388925620562e-05,4.8407392526832655
dressing,8.087707861525597e-05,1.1518151231832985
181101,8.07581417349394e-05,7.4761214384126315
lemon,7.944983605145733e-05,1.3598008257220995
treaters,7.481129771911176e-05,2.6243028946460423
aldub172ndweeksary,7.088638066866552e-05,0
parade,6.315548344808959e-05,1.4349211977888352
vampire,6.220398840555716e-05,1.0067636694949889
happyhalloween2018,5.9587377038593e-05,2.971431276905336
smtown,5.934950327795989e-05,2.492590868397129
nominated,5.5781396868463304e-05,1.549980363904516
tricks,5.387840678339846e-05,1.2411692230352063
chelsea,5.114285853611774e-05,1.3907817690552622
scariest,4.864518404947013e-05,1.963450993584989
ghostadventureslive,4.626644644313907e-05,6.350551924266729
kst,4.555282516123975e-05,1.0726254280571081
halloween18,4.460133011870733e-05,7.034637958829986
arsenal,4.4482393238390776e-05,1.214868697773352
jungwoo,4.436345635807423e-05,2.567491375064684
derby,4.0557476187944536e-05,2.0562168484899743
2018mama,3.8059801701296924e-05,4.22085676761295
deltarune,3.782192794066382e-05,0
groot,3.6513622257181736e-05,3.2434856782877395
wednesdaywisdom,3.6513622257181736e-05,1.5107695571228916
spooktacular,3.591893785559897e-05,1.3299784899930622
undertale,3.544319033433276e-05,1.2005593533797219
khashoggi,3.532425345401621e-05,1.143621442569872
ease,3.389701089021757e-05,1.0841204308212102
mamavote,3.330232648863481e-05,8.198136691112866
myers,3.258870520673549e-05,1.03760274018346
ot9,3.223189456578583e-05,3.691571096884474
