word, today's frequency, log2((freq.today-freq.ystdy)/freq.ystdy)
cup,0.0005670262215743464,1.7270869960935533
uk,0.00023061358993747944,2.0472784407695186
football,0.00018004043424943572,1.1391066887733563
btspromparty,0.0001753877039261357,0
brexit,0.00015778824574669647,3.0191648045606048
london,0.00015050571132761817,1.6484305318985943
worldcup,0.0001436277621540442,2.620475299369245
alex,0.00013209708265717024,1.2773468451871834
eu,0.00012845581544763108,2.1057759120220276
cohen,0.00012703976708836588,2.1539142166738423
saturday,0.00012380308512433108,1.0525509730551519
2026,0.00012218474414231367,3.2352017308572294
hiring,0.0001219824515195615,1.6967582831920254
england,0.000117936599064518,1.8622209698452843
loveisland,0.00011773430644176582,3.1816723344404343
host,0.00011732972119626147,1.106316753655687
mexico,0.0001130815761184658,1.0531121364839424
blog,0.00010438299334012228,1.120498976213817
fifa,9.669587367553962e-05,1.827274471621501
fantastic,9.345919171150483e-05,1.1260800084771168
apply,9.265002122049612e-05,1.5140726847417318
competition,9.062709499297438e-05,1.5411175077559607
scotland,8.981792450196568e-05,2.5281784520484627
interest,8.597436466967435e-05,1.1431535218360585
rate,8.496290155591348e-05,1.1260800084771168
spain,8.476060893316131e-05,2.859606518676552
snp,8.435602368765696e-05,0
session,8.415373106490477e-05,1.771237291117019
science,8.293997532839173e-05,1.24331768376149
labour,8.273768270563956e-05,1.907219278110922
eid,7.929870811885258e-05,1.4098729744777079
favourite,7.869183025059605e-05,1.0154608357971862
enemy,7.7478074514083e-05,1.0925707462868657
impact,7.66689040230743e-05,1.1298916224271356
afternoon,7.606202615481778e-05,1.5513858432097876
africa,7.484827041830473e-05,1.149666828794733
british,7.34322220590395e-05,1.0151959023576593
careerarc,7.322992943628733e-05,0
parliament,7.282534419078298e-05,1.2256156820280315
mps,7.18138810770221e-05,2.0899605826704653
eyal,7.18138810770221e-05,2.790400300811557
bid,6.85771991129873e-05,1.6364037083055174
joined,6.85771991129873e-05,1.2003045934988439
teenchoice,6.574510239445686e-05,0
ico,6.331759092143076e-05,1.0237814326309749
african,6.311529829867859e-05,1.019164804560605
france,6.250842043042206e-05,1.268260019436525
mate,6.210383518491771e-05,1.773465009732088
brilliant,6.089007944840466e-05,1.4648819219288753
xxx,6.068778682565249e-05,1.6406531813068752
union,5.886715322088291e-05,1.0441688106904994
european,5.826027535262638e-05,1.681295165804221
improve,5.745110486161768e-05,1.6611172838665906
tommy,5.745110486161768e-05,2.298547204481882
wednesdaywisdom,5.684422699336116e-05,3.1312233117530766
exam,5.5630471256848114e-05,1.6146579727739305
unique,5.522588601134376e-05,1.2415572258970529
grenfell,5.482130076583941e-05,0
nigeria,5.401213027483071e-05,1.9199893994697694
centre,5.380983765207854e-05,1.7890450211995463
nominated,5.3405252406574185e-05,1.1931942043356538
martial,5.279837453831766e-05,0
scottish,5.138232617905244e-05,2.7224472724705224
megan,5.138232617905244e-05,1.7224472724705227
rates,5.1180033556300264e-05,1.1317936596715106
projects,5.097774093354809e-05,1.0480774964758435
rts,4.935939995153069e-05,1.4421075019247949
environment,4.935939995153069e-05,1.0015349105388134
tory,4.855022946052199e-05,1.766184063390734
aldub152ndweeksary,4.834793683776981e-05,0
ireland,4.774105896951329e-05,2.201368135781354
shares,4.571813274199154e-05,1.3315491267770962
