word, today's frequency, log2(freq.today/freq.ystdy)
weekend,0.00037406770455850025,1.3458563798474068
sunday,0.0003557883255448103,2.172064291791749
ji,0.0002951083251076128,2.4018607492114605
saint,0.00027588671006228933,2.7221004939460527
india,0.00022349838670346665,1.162390725655849
26,0.00022274459787815983,2.277638196809076
memorial,0.00021596049845039862,2.835359784337841
brexit,0.00020729192695937042,1.4180646251188245
rampal,0.0002008847219442626,8.512319891864772
eu,0.00019579664737344167,1.5744413000290591
worldvictorioussaint,0.00018825875912037367,0
prediction,0.00017996708204199885,3.6812597500572113
race,0.00017544434909015804,1.097797006202228
jin,0.00017242919378893082,1.7450616423893641
porn,0.00016997938010668374,1.2052226019032044
btsatallianzparque,0.000150946212267687,0
results,0.00013379751649195726,1.0372601345993813
festa,0.00013134770280971017,0
27,0.00012946323074644316,1.7804623749631692
elections,0.00012362136735031545,1.1465442565385038
armys,0.00011966397601745473,1.1355843306855142
labour,0.00011495279585928722,1.440207060860943
nude,0.00011250298217704013,1.8557363279552133
remain,0.00011080695732009982,1.2193722863052356
190526,0.00011061851011377311,0
european,0.0001019499386227449,1.5680286682703242
pakistan,9.93116777341711e-05,1.7545203343416635
indy500,9.836944170253759e-05,3.9586722096184674
brazil,9.591962802029049e-05,2.1604477963190427
monacogp,9.290447271906328e-05,0
holiday,9.120844786212298e-05,1.0068691921343749
2019btsfesta,9.083155344946957e-05,0
parties,8.743950373558897e-05,1.0549213215405162
naked,8.687416211660887e-05,1.2585569901764804
perthsaintxtrigon,8.367055960905497e-05,0
ptm,7.895937945088746e-05,0
french,7.895937945088746e-05,1.0566101460267785
france,7.745180180027385e-05,1.8335420046101758
d2,7.707490738762045e-05,4.545322701326189
flag,7.500198811802674e-05,1.3227684648723181
piano,7.029080795985923e-05,2.353503799586109
victory,6.972546634087914e-05,1.1153449100385033
euphoria,6.916012472189904e-05,3.450402465891796
nostradamus,6.916012472189904e-05,6.389001921227653
parliament,6.708720545230533e-05,1.720608234443044
le,6.652186383332523e-05,1.1629650402133078
2014,6.426049735740482e-05,1.099771773352842
aladdin,6.407205015107812e-05,2.4714016824645375
f1,6.218757808781112e-05,3.733187542101072
warriors,6.124534205617761e-05,1.0843785593552902
ashley,6.105689484985092e-05,1.3347465533529235
champions,6.049155323087082e-05,1.0665121385617764
tory,5.992621161189072e-05,1.577386565509934
germany,5.6911056310663514e-05,1.122877300099727
btsinbrazil,5.672260910433681e-05,0
logo,5.615726748535671e-05,1.2472319348656595
maharaj,5.4272795422089704e-05,6.624253170547909
drake,5.2765217771476105e-05,1.3937866271705452
tournament,5.1822981739842605e-05,1.0340540214606053
served,5.10691929145358e-05,1.1441597876807073
aew,5.10691929145358e-05,1.7291222884018633
hallyupopfest2019,5.06922985018824e-05,0
sunderland,5.0503851295555696e-05,5.198489264676006
wrestling,5.0315404089229e-05,1.1227066780143895
whataboutarabarmy,4.843093202596199e-05,0
bart,4.748869599432849e-05,4.431608092605512
yoona,4.7300248788001794e-05,2.2559467216140554
kisses,4.7300248788001794e-05,1.1590851823614667
memorialday,4.711180158167509e-05,0
ver,4.654645996269499e-05,1.3152325594399341
veterans,4.560422393106149e-05,1.4905483570183495
height,4.560422393106149e-05,1.5658364843225865
starr,4.560422393106149e-05,4.37319140638019
fallen,4.541577672473479e-05,1.344849692307103
german,4.447354069310129e-05,1.0890437050238517
euelections2019,4.390819907412119e-05,3.148589312317564
sant,4.334285745514108e-05,2.5449307178865026
treason,4.296596304248768e-05,1.8949007604915773
spiritual,4.296596304248768e-05,1.0392906698267521
beckham,4.2212174217180885e-05,3.9397549962758376
jaehwan,4.2212174217180885e-05,3.3547924955546815
racing,4.164683259820078e-05,1.3595876791351862
ali,4.145838539187408e-05,1.4283329605726514
mp,4.145838539187408e-05,1.3530448332684144
corbyn,4.126993818554738e-05,1.7055532726497564
republic,4.108149097922068e-05,1.0932294769375561
greens,4.070459656656728e-05,1.7497840526317672
tories,3.976236053493378e-05,2.221231047425906
memorialdayweekend,3.938546612228038e-05,0
uyajola99,3.938546612228038e-05,0
tornado,3.9197018915953674e-05,3.5698053865255317
wembley,3.9008571709626976e-05,1.0392906698267521
mufc,3.9008571709626976e-05,2.289834131477349
ngk,3.882012450330028e-05,4.33347377423121
blackpinkinparis,3.882012450330028e-05,0
charlton,3.844323009064688e-05,5.541791010355936
hamilton,3.844323009064688e-05,1.9974704941321253
190525,3.8254782884320174e-05,0
referendum,3.787788847166677e-05,1.6791151055824265
scotland,3.7689441265340075e-05,1.3977446407392287
pets,3.712409964635997e-05,1.3484595339987728
monaco,3.693565244003327e-05,5.484075512499648
indy,3.6747205233706575e-05,2.3067709806917382
sumo,3.655875802737987e-05,4.732312916405361
peaceful,3.637031082105317e-05,1.0244173933452219
khilafat,3.637031082105317e-05,0
pbb8batch4salubong,3.637031082105317e-05,0
lewis,3.580496920207307e-05,1.9367209361862041
italy,3.561652199574637e-05,1.2886501387634695
explaining,3.561652199574637e-05,1.0392906698267521
lindo,3.505118037676627e-05,5.9934869802136275
homophobic,3.4485838757786166e-05,1.6846257885273899
khan,3.4485838757786166e-05,1.385065506668482
hunting,3.429739155145947e-05,1.1292327951395507
sarah,3.392049713880607e-05,1.0154439278723844
lap,3.373204993247936e-05,1.5805919417517686
hai,3.297826110717257e-05,1.0475582858103527
tattoos,3.278981390084586e-05,1.282561820839116
trigon,3.241291948819246e-05,0
aewdon,3.241291948819246e-05,0
treble99,3.203602507553906e-05,0
bbq,3.165913066288566e-05,1.1187251373211569
kai,3.165913066288566e-05,1.0917580897208874
westandwithpakarmy,3.147068345655896e-05,0
jikook,3.1282236250232264e-05,1.5439653815902725
dictator,3.1282236250232264e-05,1.7000845835075544
remembering,3.1282236250232264e-05,1.2146577563373127
colour,3.109378904390556e-05,1.065762881187943
turnout,3.090534183757886e-05,2.489952078836317
