word, today's frequency, log2(freq.today/freq.ystdy)
wall,0.00016214560675486587,1.031350587128373
mueller,9.908898190575137e-05,1.004040020259646
aldubxaldenonvm,7.251511857648167e-05,0
victormagtanggolangsimula,6.696013019691683e-05,0
loveisland,6.275635520697586e-05,2.9254955136709206
brian,4.504044632079607e-05,1.1861908398769523
mondaymotivation,4.158734543620171e-05,4.600367383565128
lebron,3.93353231201619e-05,1.0487425001278012
30th,3.48312784880823e-05,1.117537304097591
zimbabwe,3.438087402487434e-05,1.230671772572544
publisher,3.393046956166637e-05,2.81203948818155
rudy,3.3029660635250455e-05,1.0131710320117744
bigfoot,3.1828582066695896e-05,4.6739772907164365
nyt,3.0477368677072012e-05,1.0264302526172573
christopher,2.7624807076754927e-05,1.2797942333302332
zamfara,2.6573863329269684e-05,1.5067717906277163
180730,2.6573863329269684e-05,0
alden,2.6273593687131043e-05,1.3098051067352268
braves,2.5823189223923084e-05,1.263797134077166
assam,2.5522919581784442e-05,2.1459944066619894
polling,2.5072515118576483e-05,1.0078330337399273
dani,2.477224547643784e-05,1.990450955511691
sundays,2.2219953518259398e-05,1.2486196061736685
kendrick,2.2069818697190077e-05,1.1684492574896854
victor,2.2069818697190077e-05,1.0372047242114326
90dayfiance,2.1619414233982115e-05,7.11598183759555
sundaymorning,2.0718605307566193e-05,1.6970292883133227
