word, today's frequency, log2(freq.today/freq.ystdy)
united,0.00028978156701408317,1.197254330033651
flag,0.00027678750446234274,1.99650191500867
staff,0.00019994089797355498,1.2468246086682488
trade,0.00019924229246002056,1.2936760202974993
mexico,0.00016542978560495395,1.938219170387479
28,0.0001553698662100581,1.2660647350524916
mourinho,0.00014992074320448952,3.5667183193922836
jose,0.0001099605078303199,2.4628055298231772
spurs,0.00010618803805723395,2.391067661854072
nafta,0.00010339361600309622,4.3525935140394365
aldubvenividiamavi,8.467098824037339e-05,0
manchester,8.229572949435632e-05,1.3492474861594452
happybirthdayshilpashinde,8.159712398082188e-05,5.928574452211168
raw,8.089851846728745e-05,1.4066143332572543
petty,6.790445591554698e-05,1.146986871196026
flags,6.329365952621971e-05,2.2563087038533007
utd,6.259505401268528e-05,2.2565981981937706
agreement,6.133756408832329e-05,1.816387304725417
manu,5.658704659628915e-05,5.4005279911031385
muntot,5.6307604390875375e-05,6.563310923301431
mufc,5.3513182336737635e-05,2.423786286240648
tottenham,5.029959697447924e-05,2.2507808715984563
tiger,4.373270514725556e-05,1.1652707401686317
mast,4.1776609709359147e-05,3.8107484740842064
lukaku,3.6886371114618114e-05,5.368106513410761
pogba,3.5768602292963015e-05,2.660747381329878
meditation,3.548916008754924e-05,1.557509578661005
lowered,3.437139126589415e-05,2.1232689455495044
lucas,3.185641141717019e-05,1.654102067687866
announces,3.0319479287394433e-05,1.4222986137743572
theresa,2.9201710465739337e-05,1.2584820222362627
trafford,2.8363383849498017e-05,2.4865479707083002
shaw,2.8083941644084242e-05,2.3898015845100797
gameplay,2.8083941644084242e-05,1.0051377342747547
lanny,2.7664778335963584e-05,1.4936373954946198
spice,2.724561502784292e-05,1.1066142723853722
retirement,2.5988125103480942e-05,1.0048902100327666
ginobili,2.528951958994651e-05,5.823558281135513
usopen,2.528951958994651e-05,2.0865926869693068
fred,2.5010077384532734e-05,1.9330590534004228
pips,2.445119297370519e-05,1.0561052584286894
odell,2.4171750768291414e-05,5.021375027522826
managers,2.389230856287764e-05,1.1767802901546793
moura,2.3612866357463868e-05,7.309554331055648
smalling,2.347314525475698e-05,4.49363739549462
